"","text","created_at.x","lang","author_id","possibly_sensitive","reply_settings","id","conversation_id","protected","created_at.y","username","name","location","url","verified","description","profile_image_url","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_bookmark_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","public_metrics.y_like_count","public_metrics.y_media_count","text_with_display_links","in_reply_to_user_id","reply.to.thread.no.term","geo_place_id"
"1","🏖️⚠️The red tide organism Karenia brevis was detected in 54 samples collected from Southwest Florida in Pinellas, Sarasota, Charlotte, Lee, Hillsborough and Manatee counties. Red tide can cause breathing difficulty in people and pets. #Poison Help 1-800-222-1222. . https   x com FloridaPoison status 1866241413274337701 video 1",2024-12-09 22:00:00,"en","236390420",FALSE,"everyone","1866241413274337701","1866241413274337701",FALSE,"2011-01-10T13:44:51.000Z","FloridaPoison","FL Poison Control","Florida, USA","https://t.co/JPynmUPoh3",FALSE,"Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg",NA,0,0,0,0,0,31,1155,427,10634,21,2598,4850,"🏖️⚠️The red tide organism Karenia brevis was detected in 54 samples collected from Southwest Florida in Pinellas, Sarasota, Charlotte, Lee, Hillsborough and Manatee counties. Red tide can cause breathing difficulty in people and pets. #Poison Help 1-800-222-1222. https://t.co/azbHFNMgbI",NA,NA,NA
"2","🏖️⚠️The red tide organism Karenia brevis was detected in 54 samples collected from Southwest Florida in Pinellas, Sarasota, Charlotte, Lee, Hillsborough and Manatee counties. Red tide can cause breathing difficulty in people and pets. #Poison Help 1-800-222-1222. . https   x com FloridaPoison status 1866135968069337395 video 1",2024-12-09 15:01:00,"en","236390420",FALSE,"everyone","1866135968069337395","1866135968069337395",FALSE,"2011-01-10T13:44:51.000Z","FloridaPoison","FL Poison Control","Florida, USA","https://t.co/JPynmUPoh3",FALSE,"Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg",NA,0,0,0,0,0,37,1155,427,10634,21,2598,4850,"🏖️⚠️The red tide organism Karenia brevis was detected in 54 samples collected from Southwest Florida in Pinellas, Sarasota, Charlotte, Lee, Hillsborough and Manatee counties. Red tide can cause breathing difficulty in people and pets. #Poison Help 1-800-222-1222. https://t.co/etkmoQ9IOi",NA,NA,NA
"3","⚠️The latest @MyFWC report shows the red tide organism detected in 49 samples in or offshore in Pinellas, Manatee, Sarasota, Charlotte, Lee and Citrus Counties. Red tide can cause breathing difficulty in people and pets. #Poison Help 1-800-222-1222. . https   x com FloridaPoison status 1864761913235632462 video 1",2024-12-05 20:01:00,"en","236390420",FALSE,"everyone","1864761913235632462","1864761913235632462",FALSE,"2011-01-10T13:44:51.000Z","FloridaPoison","FL Poison Control","Florida, USA","https://t.co/JPynmUPoh3",FALSE,"Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg",NA,0,0,0,0,0,45,1155,427,10634,21,2598,4850,"⚠️The latest @MyFWC report shows the red tide organism detected in 49 samples in or offshore in Pinellas, Manatee, Sarasota, Charlotte, Lee and Citrus Counties. Red tide can cause breathing difficulty in people and pets. #Poison Help 1-800-222-1222. https://t.co/Vxq47EFtY6",NA,NA,NA
"4","State environmental officials have noted fish kills suspected to be caused by red tide in Pinellas County, along with reports of respiratory irritation in both Pinellas and Sarasota counties...



#PIESun. https   pie sun com 2024 12 05 red tide persists in southern pinellas manatee and sarasota counties",2024-12-05 19:30:23,"en","1839381876211113984",FALSE,"everyone","1864754210719350950","1864754210719350950",FALSE,"2024-09-26T19:10:16.000Z","ThePIESun","St. Pete-Clearwater Sun","St. Petersburg, Florida","https://t.co/5lLoq2abmx",FALSE,"Local St. Pete-Clearwater, Florida News, Events, and Destinations","https://pbs.twimg.com/profile_images/1839382051910520832/-AsxpgmZ_normal.jpg",NA,0,0,0,0,0,12,7,39,465,0,9,9,"State environmental officials have noted fish kills suspected to be caused by red tide in Pinellas County, along with reports of respiratory irritation in both Pinellas and Sarasota counties...

https://t.co/cDa5UZHWuW

#PIESun",NA,NA,NA
"5","🏖️⚠️The latest @MyFWC report shows the red tide organism detected in 49 samples in or offshore in Pinellas, Manatee, Sarasota, Charlotte, Lee and Citrus Counties. Red tide can cause breathing difficulty in people and pets. #Poison Help 1-800-222-1222. . https   x com FloridaPoison status 1864655461628207612 video 1",2024-12-05 12:58:00,"en","236390420",FALSE,"everyone","1864655461628207612","1864655461628207612",FALSE,"2011-01-10T13:44:51.000Z","FloridaPoison","FL Poison Control","Florida, USA","https://t.co/JPynmUPoh3",FALSE,"Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg",NA,0,0,0,0,0,64,1155,427,10634,21,2598,4850,"🏖️⚠️The latest @MyFWC report shows the red tide organism detected in 49 samples in or offshore in Pinellas, Manatee, Sarasota, Charlotte, Lee and Citrus Counties. Red tide can cause breathing difficulty in people and pets. #Poison Help 1-800-222-1222. https://t.co/SCqtuAFAiF",NA,NA,NA
"6","RT @wusf: But persistent winds from the north could push much of the algae bloom to the south over the rest of the week.
. https   www wusf org environment 2024 12 04 red tide lingers in southern pinellas manatee and sarasota counties",2024-12-05 12:25:46,"en","377666632",FALSE,"everyone","1864647349710278935","1864647349710278935",FALSE,"2011-09-21T22:53:34.000Z","radiocraigkopp","Craig Kopp","Land O Lakes, Florida",NA,FALSE,"Radio man, Podcast man, Writer man","https://pbs.twimg.com/profile_images/1490711932650889217/kLsdYtt5_normal.jpg",NA,1,0,0,0,0,0,958,1523,43211,51,40109,259,"RT @wusf: But persistent winds from the north could push much of the algae bloom to the south over the rest of the week.
https://t.co/0DOri8OIwi",NA,NA,NA
"7","But persistent winds from the north could push much of the algae bloom to the south over the rest of the week.
. https   www wusf org environment 2024 12 04 red tide lingers in southern pinellas manatee and sarasota counties",2024-12-05 12:20:29,"en","17544442",FALSE,"everyone","1864646021042852222","1864646021042852222",FALSE,"2008-11-21T20:07:08.000Z","wusf","WUSF","Tampa, FL","https://t.co/KBo4cZ4tOe",FALSE,"WUSF Public Media is the Tampa Bay area’s source for news, in-depth reporting, educational programming, arts, and the finest classical music.","https://pbs.twimg.com/profile_images/1714703492890394624/IOVwz2sB_normal.jpg","1787836246024437952",1,0,1,0,0,81,14952,2307,41565,456,2726,4732,"But persistent winds from the north could push much of the algae bloom to the south over the rest of the week.
https://t.co/0DOri8OIwi",NA,NA,NA
"8","Dead fish are starting to wash up on our shore due to toxins in the water. The FWC identified red tide in Pinellas, Manatee and Sarasota Counties. . https   www abcactionnews com news region pinellas experts monitor red tide blooms in pinellas manatee and sarasota counties",2024-12-03 01:45:00,"en","15138087",FALSE,"everyone","1863761321759571988","1863761321759571988",FALSE,"2008-06-16T20:08:51.000Z","abcactionnews","ABC Action News","Tampa","https://t.co/VHYcXWsUHd",FALSE,"ABC Action News is Taking Action For You! Award-winning Breaking News coverage in the Tampa Bay area","https://pbs.twimg.com/profile_images/875429460807438337/4yx0qIuz_normal.jpg",NA,0,0,0,0,0,832,180740,630,202154,1589,4869,53518,"Dead fish are starting to wash up on our shore due to toxins in the water. The FWC identified red tide in Pinellas, Manatee and Sarasota Counties. https://t.co/RCQGZUPZtz",NA,NA,NA
"9","RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see  #flwx. http   coastalscience noaa gov science areas habs hab forecasts gulf of mexico",2024-12-03 01:05:07,"en","1588410537741897728",FALSE,"everyone","1863751284387443158","1863751284387443158",FALSE,"2022-11-04T05:59:56.000Z","FLhurricanes1","Florida’s Stormchasing Adventures"," florida ","https://t.co/rnqPbhdBsQ",FALSE,"i'm Certified Skywarn Storm Spotter through NWS Tampa Bay  Future meteorologist-storm chaser- Weather Enthusiast follow me  for more thank you","https://pbs.twimg.com/profile_images/1826405251013828608/qWtbuLeM_normal.jpg",NA,8,0,0,0,0,0,459,2032,2437,4,10293,28,"RT @NWSTampaBay: Over the next 36 hours, @NOAACoastalSci is forecasting a HIGH risk of respiratory irritation from Karenia brevis (red tide) at some beaches in PINELLAS county. Conditions may vary. For latest updates at individual beaches, see https://t.co/vqAaLYoVUz #flwx",NA,NA,NA
"10","🏖️⚠️Red tide is still very present along Florida's Gulf Coast, especially in Sarasota, Manatee, Hillsborough and Pinellas counties. Red tide can cause breathing difficulty in people and pets.
#Poison Help 1-800-222-1222.
. https   www wtsp com article news red tide red tide current conditions map florida 67 7d9d432d 88c7 4397 937b 7db37145b4ac",2024-12-02 17:01:00,"en","236390420",FALSE,"everyone","1863629451772432841","1863629451772432841",FALSE,"2011-01-10T13:44:51.000Z","FloridaPoison","FL Poison Control","Florida, USA","https://t.co/JPynmUPoh3",FALSE,"Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg",NA,0,0,0,0,0,29,1172,426,10558,21,2598,4808,"🏖️⚠️Red tide is still very present along Florida's Gulf Coast, especially in Sarasota, Manatee, Hillsborough and Pinellas counties. Red tide can cause breathing difficulty in people and pets.
#Poison Help 1-800-222-1222.
https://t.co/2QV86V7aoR",NA,NA,NA
